epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.7767,0.63089,1,1,0.03002,0.00031438,0.00031438,0.00031438
2,32.4642,0.06402,1,1,0.00054,0.000600609,0.000600609,0.000600609
3,54.0941,0.03284,1,1,0.0015,0.000843453,0.000843453,0.000843453
4,61.8596,0.03603,1,1,0.00164,0.00104291,0.00104291,0.00104291
5,69.22,0.02178,1,1,0.00052,0.00105174,0.00105174,0.00105174
6,89.129,0.0505,1,1,0.00437,0.00095743,0.00095743,0.00095743
7,96.6097,0.05178,0.98913,1,0.01862,0.000863116,0.000863116,0.000863116
8,104.195,0.03677,1,1,0.0007,0.000768802,0.000768802,0.000768802
9,111.575,0.01644,1,1,0.0005,0.000674488,0.000674488,0.000674488
10,119.181,0.01773,1,1,0.00027,0.000580174,0.000580174,0.000580174
11,126.885,0.04104,1,1,0.00062,0.00048586,0.00048586,0.00048586
12,137.082,0.02735,1,1,0.00028,0.000391546,0.000391546,0.000391546
13,147.923,0.01613,1,1,0.00017,0.000297232,0.000297232,0.000297232
